student_id,name,attendance,internal_marks,study_hours_per_day,previous_cgpa,assignments_completed,extracurricular,performance
410,Kavya Khanna,87.69,99.26,7.82,6.15,8,1,High
411,Varun Banerjee,70.14,57.19,1.8,5.91,3,0,Average
412,Sai Krishnan,43.52,99.41,5.29,8.6,3,0,Low
413,Kiran Pandey,79.41,48.66,8.16,9.5,0,0,Low
414,Varun Dhawan,61.29,88.75,8.45,5.06,9,1,Average
415,Kiran Iyer,61.53,71.41,7.03,6.11,9,0,Average
416,Aditya Patel,90.2,86.73,9.7,7.25,2,1,High
417,Varun Joshi,43.37,72.12,0.2,6.87,5,0,Low
418,Ishaan Bhatia,60.45,42.42,8.02,9.21,0,0,Low
419,Divya Tandon,82.28,39.92,1.11,7.16,5,0,Low
420,Yash Chopra,63.74,37.07,3.02,4.82,2,1,Low
421,Dhruv Tandon,97.64,75.44,1.74,9.81,9,1,Average
422,Payal Sharma,75.34,42.27,3.07,8.13,2,0,Low
423,Atharv Arora,96.93,96.41,3.92,9.97,9,0,Average
424,Ishaan Roy,59.09,86.62,6.11,7.84,1,1,Low
425,Rhea Sharma,84.72,46.66,9.82,5.01,1,1,Low
426,Vihaan Pandey,55.91,47.47,0.68,5.54,1,0,Low
427,Raj Pandey,66.29,59.38,1.66,6.48,6,1,Average
428,Shaurya Chaudhary,46.09,63.56,8.64,7.91,10,0,Low
429,Pooja Reddy,44.42,89.2,2.95,5.91,1,0,Low
430,Kunal Bajaj,93.28,41.26,0.75,9.65,1,1,Low
431,Shaurya Singh,93.59,79.32,4.31,7.92,9,1,Average
432,Neha Mukherjee,46.08,44.39,1.9,8.18,8,1,Low
433,Vihaan Mishra,57.84,36.71,3.93,7.3,7,0,Low
434,Sai Verma,40.23,36.13,8.24,7.75,7,0,Low
435,Yash Tiwari,52.42,74.67,9.77,6.84,1,1,Low
436,Divya Pandey,68.26,92.64,2.65,7.85,6,0,Average
437,Kiran Singh,62.16,61.2,2.63,6.79,3,1,Average
438,Gaurav Bhatia,49.07,78.75,0.97,8.01,8,1,Low
439,Kiran Krishnan,53.65,34.27,3.87,7.14,8,1,Low
440,Ayaan Chaudhary,68.58,35.53,9.03,8.29,8,0,Low
441,Aisha Patel,50.37,98.91,9.72,8.85,2,0,Low
442,Sneha Kumar,99.3,60.48,9.97,7.76,9,1,Average
443,Aarav Dhawan,45.22,68.95,5.52,9.14,8,1,Low
444,Sai Khanna,77.38,66.58,4.2,6.49,2,0,Average
445,Nisha Sethi,86.77,85.0,8.67,9.28,6,1,High
446,Aditya Tiwari,69.14,72.63,0.37,5.65,2,1,Average
447,Vivaan Roy,93.37,53.2,2.38,8.47,4,1,Average
448,Dhruv Joshi,89.04,51.21,2.8,6.95,10,0,Average
449,Advik Chaudhary,58.03,82.06,7.74,5.93,6,0,Low
450,Rahul Reddy,52.68,87.68,7.41,8.56,5,0,Low
451,Atharv Iyer,43.94,79.67,4.03,8.68,8,0,Low
452,Simran Iyer,92.51,44.05,0.58,4.2,0,1,Low
453,Ananya Mishra,56.44,87.65,5.05,7.81,1,0,Low
454,Kavya Reddy,69.33,61.23,9.61,6.85,8,1,Average
455,Vihaan Reddy,90.26,48.11,8.31,4.54,0,1,Low
456,Priya Sethi,91.23,84.59,2.14,5.33,3,0,Average
457,Krishna Sethi,64.57,31.4,7.8,8.61,0,1,Low
458,Aisha Pandey,50.39,86.06,2.24,7.65,4,1,Low
459,Nikhil Shah,91.1,62.13,2.18,5.81,8,1,Average
460,Riya Walia,40.44,99.96,9.66,9.04,8,1,Low
461,Swati Sethi,46.49,34.47,9.88,7.84,4,1,Low
462,Neha Bose,57.93,40.5,7.65,9.4,9,1,Low
463,Tanvi Pandey,80.85,80.49,6.55,9.98,4,1,High
464,Ankita Kapoor,84.2,70.81,9.95,8.9,5,0,High
465,Suresh Tandon,78.3,63.3,9.41,6.15,4,0,Average
466,Ankita Roy,92.59,42.68,0.98,4.77,4,0,Low
467,Divya Chatterjee,79.27,45.56,2.23,9.23,6,1,Low
468,Isha Iyer,75.13,62.46,1.18,4.32,10,0,Average
469,Krishna Iyer,70.03,90.72,3.82,5.79,0,0,Average
470,Simran Rao,60.56,99.1,8.93,9.92,2,1,Average
471,Aarav Chaudhary,86.74,64.13,6.31,5.06,10,0,Average
472,Krishna Bajaj,56.41,83.28,1.69,8.59,7,0,Low
473,Raj Iyer,66.02,60.06,4.29,6.86,0,0,Average
474,Vivaan Walia,83.84,96.5,8.92,8.54,8,0,High
475,Sai Pandey,40.25,81.35,2.26,9.26,4,0,Low
476,Payal Srivastava,70.2,51.43,0.65,4.27,4,1,Average
477,Kavya Iyer,75.78,53.65,8.88,9.97,5,1,Average
478,Pranav Verma,49.89,93.48,8.12,4.11,3,0,Low
479,Sakshi Chatterjee,75.38,41.83,3.67,7.9,0,1,Low
480,Vihaan Dhawan,86.27,73.62,5.94,4.29,1,0,High
481,Komal Walia,46.95,61.1,1.24,5.52,2,0,Low
482,Shreya Shah,77.82,51.08,6.62,7.97,4,0,Average
483,Kunal Iyer,70.7,73.24,2.83,8.71,7,0,Average
484,Shaurya Gupta,86.68,88.2,9.73,6.15,6,1,High
485,Aarav Tandon,72.89,93.72,6.88,6.88,3,0,Average
486,Payal Shah,45.34,37.73,5.74,6.96,1,0,Low
487,Vihaan Shah,94.29,75.1,4.57,9.86,4,1,Average
488,Aisha Mehta,88.79,91.19,8.52,6.16,10,1,High
489,Pooja Ghosh,45.7,83.07,0.46,9.11,10,0,Low
490,Atharv Mehta,93.67,96.86,2.68,8.4,5,1,Average
491,Swati Reddy,64.05,97.36,2.72,6.31,7,1,Average
492,Shreya Bhatia,46.78,78.73,0.59,9.65,2,0,Low
493,Ankita Joshi,68.96,69.83,4.38,7.67,5,0,Average
494,Swati Bose,68.98,64.17,8.88,6.64,1,1,Average
495,Neha Roy,40.74,90.78,5.25,8.46,9,0,Low
496,Kavya Tandon,71.15,78.18,6.18,6.6,3,1,Average
497,Aarav Sethi,80.58,56.94,8.39,7.35,9,0,Average
498,Gaurav Jain,96.06,65.39,4.69,6.98,2,0,Average
499,Tanvi Krishnan,59.24,53.16,2.78,7.04,8,1,Low
500,Sneha Mehta,44.73,61.09,5.73,4.53,7,1,Low
501,Deepak Patel,98.84,82.17,0.18,6.42,0,0,Average
502,Swati Tandon,87.51,97.42,6.38,9.34,8,0,High
503,Dev Bajaj,67.37,53.86,8.25,8.9,7,1,Average
504,Aarav Roy,76.0,80.17,3.63,6.72,1,0,Average
505,Aditya Reddy,61.31,74.36,8.0,7.29,5,0,Average
506,Advik Mehta,69.55,87.53,7.43,6.46,4,0,Average
507,Gaurav Tripathi,95.81,57.5,4.57,8.69,5,0,Average
508,Neha Bhatia,42.79,74.33,6.72,4.74,7,1,Low
509,Suresh Bhatia,97.37,39.42,4.99,7.18,0,1,Low
510,Payal Joshi,68.98,65.58,9.21,5.06,9,0,Average
511,Kunal Dhawan,46.21,76.03,6.06,5.93,6,1,Low
512,Krishna Tripathi,85.74,49.15,9.64,9.82,7,0,Low
513,Simran Malhotra,76.15,92.05,5.12,9.06,8,1,High
514,Simran Sethi,77.95,44.06,6.24,5.74,5,0,Low
515,Dev Agarwal,98.51,42.45,5.42,7.82,1,1,Low
516,Ramesh Shukla,74.97,95.99,7.1,8.05,8,1,Average
517,Advik Banerjee,88.5,66.59,0.25,4.87,10,0,Average
518,Pranav Kapoor,85.01,41.27,2.87,5.5,0,1,Low
519,Ritika Sethi,41.94,86.98,1.02,9.21,8,0,Low
520,Nisha Pandey,73.68,46.63,7.84,8.79,4,0,Low
521,Ritika Chatterjee,64.99,85.17,6.85,9.79,0,0,Average
522,Gaurav Bhatia,52.19,90.82,8.6,6.66,3,1,Low
523,Atharv Walia,72.8,72.24,7.76,9.79,4,1,Average
524,Priya Malhotra,44.47,97.37,7.35,4.72,0,1,Low
525,Aditya Nair,55.85,41.27,8.46,4.03,7,0,Low
526,Rohan Khanna,95.72,71.78,7.74,7.75,10,1,High
527,Yash Saxena,73.01,35.1,7.08,7.15,2,0,Low
528,Pooja Mishra,49.56,68.02,4.03,6.1,3,1,Low
529,Ayaan Tandon,57.61,96.52,6.18,6.85,8,0,Low
530,Ankita Bose,60.76,46.82,6.42,9.51,3,0,Low
531,Amit Mishra,62.88,85.73,1.13,5.54,4,0,Average
532,Sneha Saxena,70.86,65.61,4.87,5.78,10,0,Average
533,Sakshi Kumar,44.94,36.72,9.72,8.64,8,0,Low
534,Raj Dhawan,52.65,74.07,2.13,8.11,1,0,Low
535,Vivaan Yadav,92.72,81.9,4.35,8.9,1,0,Average
536,Kiran Menon,83.01,32.65,0.73,5.07,4,0,Low
537,Nisha Walia,94.66,58.53,4.51,6.43,5,0,Average
538,Komal Kumar,47.1,30.41,7.2,4.38,9,0,Low
539,Meera Chaudhary,61.46,65.2,2.9,8.12,9,0,Average
540,Ritika Tiwari,62.88,87.55,0.31,4.94,3,0,Average
541,Aarav Malhotra,87.81,89.46,2.95,7.8,4,1,Average
542,Riya Pillai,92.49,39.9,0.42,7.44,6,0,Low
543,Shaurya Rao,84.9,93.25,3.44,6.48,10,0,Average
544,Ramesh Malhotra,53.25,88.43,1.94,5.09,9,0,Low
545,Payal Bhatia,67.68,68.48,2.91,4.4,1,0,Average
546,Harsh Kumar,69.23,53.16,1.28,7.93,1,1,Average
547,Kiran Khanna,94.01,52.25,4.51,7.7,4,0,Average
548,Simran Sethi,61.87,52.14,4.28,4.03,3,0,Average
549,Rhea Ghosh,66.17,88.81,1.34,8.4,7,1,Average
550,Ramesh Joshi,86.49,64.09,1.09,7.87,1,1,Average
551,Ramesh Saxena,93.48,43.75,7.34,7.76,1,0,Low
552,Dev Chatterjee,77.9,86.88,5.79,8.62,3,0,High
553,Dhruv Bhatia,72.61,99.91,4.72,8.65,5,1,Average
554,Rahul Sharma,83.99,50.37,4.65,7.06,6,1,Average
555,Rhea Reddy,79.76,89.36,8.07,7.68,2,0,High
556,Aditya Menon,50.75,96.41,6.59,9.81,7,1,Low
557,Amit Mishra,85.69,46.22,2.64,5.4,10,0,Low
558,Sai Srivastava,63.29,94.25,8.82,4.24,10,1,Average
559,Nisha Sethi,78.01,49.14,7.42,7.47,9,0,Low
560,Dhruv Srivastava,62.71,71.14,8.98,4.47,4,1,Average
561,Rahul Joshi,64.35,87.21,3.45,8.76,9,0,Average
562,Shaurya Mishra,66.39,46.1,5.15,5.68,2,0,Low
563,Isha Walia,76.12,87.19,6.61,6.49,5,0,High
564,Aditya Joshi,68.73,44.75,1.61,9.0,0,0,Low
565,Vihaan Reddy,74.41,41.28,6.3,4.24,9,0,Low
566,Payal Tandon,55.5,42.6,9.58,7.6,9,0,Low
567,Shaurya Menon,89.28,96.31,2.17,7.64,7,1,Average
568,Shaurya Walia,89.82,72.06,7.95,8.92,2,1,High
569,Sai Verma,60.56,61.74,5.91,5.38,6,0,Average
570,Atharv Agarwal,52.14,90.17,5.04,6.52,2,0,Low
571,Isha Tandon,94.1,71.99,8.78,7.19,1,0,High
572,Amit Tripathi,47.82,72.24,8.28,9.38,10,1,Low
573,Kavya Bhatia,62.22,33.04,5.3,5.38,7,1,Low
574,Diya Agarwal,88.28,93.55,8.37,7.46,6,0,High
575,Diya Iyer,85.95,93.71,0.84,7.59,8,1,Average
576,Nisha Sethi,40.33,82.06,0.07,7.14,8,0,Low
577,Diya Kapoor,52.33,86.3,4.09,4.64,6,1,Low
578,Dev Malhotra,65.41,55.6,2.76,8.08,3,1,Average
579,Siddharth Tiwari,68.95,55.91,5.55,5.52,4,1,Average
580,Sai Pillai,84.15,89.85,6.59,8.49,7,0,High
581,Shaurya Pandey,70.5,85.03,8.01,7.68,10,0,Average
582,Reyansh Kumar,97.87,30.37,0.91,4.87,9,1,Low
583,Simran Arora,55.79,55.96,6.09,8.35,6,1,Low
584,Ramesh Tandon,43.45,84.15,1.75,6.97,0,0,Low
585,Harsh Reddy,95.85,66.27,1.95,8.7,8,0,Average
586,Siddharth Tiwari,80.44,55.18,6.55,9.85,1,1,Average
587,Dev Mukherjee,61.19,57.66,5.86,7.11,1,0,Average
588,Kunal Iyer,83.57,69.14,5.83,6.08,4,0,Average
589,Dev Kumar,67.29,58.28,0.05,5.05,8,0,Average
590,Komal Chaudhary,70.19,53.8,1.17,7.08,4,1,Average
591,Nikhil Verma,97.96,69.42,7.7,8.54,7,1,Average
592,Varun Bose,68.92,48.05,3.83,8.73,3,0,Low
593,Meera Patel,64.75,54.72,5.36,8.2,4,0,Average
594,Sneha Ghosh,63.94,82.42,3.42,7.33,2,1,Average
595,Ritika Iyer,53.11,70.16,1.83,8.48,3,1,Low
596,Ishaan Shah,54.09,46.94,2.65,5.38,3,1,Low
597,Ramesh Agarwal,47.19,35.49,9.56,6.96,0,0,Low
598,Rohan Rao,62.27,52.08,8.98,9.29,9,1,Average
599,Vihaan Srivastava,99.06,94.12,2.8,5.33,9,0,Average
600,Zara Mehta,87.96,63.48,5.41,7.01,6,0,Average
601,Nikhil Shah,81.89,62.2,6.89,4.07,3,1,Average
602,Isha Bajaj,59.53,72.89,2.6,7.29,3,1,Low
603,Ramesh Tiwari,60.59,42.87,4.24,6.51,5,1,Low
604,Payal Banerjee,56.78,42.59,1.31,7.46,3,0,Low
605,Varun Sharma,88.25,68.87,8.56,5.18,2,1,Average
606,Yash Jain,50.6,64.97,9.96,9.1,8,1,Low
607,Pranav Chatterjee,58.0,69.35,5.68,6.39,2,0,Low
608,Dev Malhotra,68.59,74.09,4.5,6.01,5,1,Average
609,Kiran Khanna,95.91,48.04,0.2,4.73,10,0,Low
610,Siddharth Chaudhary,78.99,67.69,9.79,5.71,5,1,Average
611,Sakshi Roy,93.38,56.67,2.87,7.79,2,0,Average
612,Pooja Menon,65.31,72.86,4.05,9.44,1,0,Average
613,Rhea Mishra,58.81,75.71,7.1,7.63,6,1,Low
614,Payal Krishnan,84.87,66.47,4.5,5.0,0,0,Average
615,Sai Shah,79.72,95.83,7.01,4.48,2,1,High
616,Sai Chatterjee,43.83,91.51,5.48,4.16,6,0,Low
617,Ritika Mukherjee,77.09,35.9,9.32,6.34,3,0,Low
618,Sneha Agarwal,66.59,38.85,5.27,5.02,0,1,Low
619,Nikhil Arora,68.03,90.96,9.35,7.29,2,0,Average
620,Kavya Agarwal,67.39,82.42,8.77,6.61,10,1,Average
621,Riya Sharma,72.38,86.33,4.42,6.19,4,0,Average
622,Komal Jain,40.01,87.08,8.48,6.06,7,0,Low
623,Yash Sharma,96.82,63.39,0.09,6.58,4,0,Average
624,Simran Sethi,72.89,43.2,8.82,6.62,3,0,Low
625,Meera Sethi,63.38,56.49,2.63,6.53,3,1,Average
626,Meera Mehta,84.58,86.62,4.13,9.12,2,0,Average
627,Vivaan Nair,78.21,73.24,2.72,7.74,3,1,Average
628,Simran Chaudhary,42.98,67.45,1.86,4.61,4,0,Low
629,Riya Jain,83.63,46.3,1.51,6.96,5,1,Low
630,Priya Tiwari,99.88,62.46,7.91,5.98,2,0,Average
631,Ayaan Krishnan,44.28,62.91,1.92,9.05,6,0,Low
632,Ritika Shah,63.09,98.25,2.47,9.97,3,1,Average
633,Shaurya Chopra,71.27,98.75,4.73,8.09,4,1,Average
634,Advik Mishra,83.69,82.13,5.5,4.73,7,1,High
635,Sneha Sharma,93.25,90.46,2.18,4.68,10,1,Average
636,Nikhil Dhawan,50.04,49.33,1.2,8.73,0,0,Low
637,Reyansh Walia,68.52,71.73,3.71,4.54,2,1,Average
638,Swati Nair,77.12,95.16,9.97,7.75,0,1,High
639,Varun Chaudhary,82.08,85.4,1.26,5.4,8,1,Average
640,Rohan Chaudhary,83.99,31.49,3.78,8.35,4,0,Low
641,Sneha Yadav,73.54,67.99,4.9,7.4,8,1,Average
642,Rhea Mukherjee,56.52,88.19,9.14,7.33,1,0,Low
643,Payal Rao,89.17,67.91,4.54,8.66,8,1,Average
644,Neha Kapoor,92.98,73.38,3.64,7.72,5,0,Average
645,Sneha Tripathi,89.14,43.29,6.83,8.59,2,1,Low
646,Aditya Iyer,78.45,37.73,5.23,4.4,2,0,Low
647,Amit Bajaj,46.42,43.41,0.32,7.85,6,1,Low
648,Pranav Sethi,82.08,47.92,3.66,7.64,1,0,Low
649,Dev Tripathi,69.48,92.28,0.8,8.81,0,1,Average
650,Payal Kumar,89.32,85.6,0.58,7.7,8,0,Average
651,Raj Pandey,90.07,35.46,2.16,7.12,1,0,Low
652,Ritika Shah,51.37,66.83,2.49,7.75,2,1,Low
653,Shaurya Rao,85.98,70.36,6.74,8.22,6,0,High
654,Kavya Bose,73.0,65.33,6.58,7.2,9,1,Average
655,Deepak Bose,73.0,99.78,8.45,6.47,10,1,Average
656,Rhea Chaudhary,76.5,69.42,2.14,8.59,4,1,Average
657,Riya Sharma,97.59,30.01,0.35,5.71,0,0,Low
658,Sai Gupta,58.02,45.53,8.56,4.13,4,0,Low
659,Diya Das,67.62,40.93,2.65,9.34,3,0,Low
660,Atharv Jain,45.51,57.99,9.18,8.41,5,1,Low
661,Aditya Khanna,89.54,78.27,5.76,9.45,9,1,High
662,Ayaan Menon,62.89,84.61,9.22,6.01,6,1,Average
663,Vihaan Das,84.86,89.46,9.29,7.8,10,1,High
664,Vihaan Walia,71.46,52.35,5.65,5.96,3,0,Average
665,Dhruv Shukla,83.89,57.5,4.46,7.57,8,0,Average
666,Dev Tiwari,57.39,57.6,1.32,4.5,9,0,Low
667,Dev Iyer,55.75,57.9,4.34,8.19,2,1,Low
668,Ananya Kumar,69.27,75.66,1.96,7.7,8,0,Average
669,Aisha Mishra,55.98,60.1,6.85,7.46,1,1,Low
670,Kavya Bajaj,60.9,52.45,5.94,4.15,4,0,Average
671,Ankita Mishra,89.3,86.2,6.23,6.64,3,0,High
672,Suresh Mukherjee,49.36,80.99,0.86,8.44,3,0,Low
673,Pranav Kapoor,40.82,78.57,1.11,6.7,0,1,Low
674,Komal Dhawan,52.71,68.25,7.5,7.29,9,0,Low
675,Vihaan Mukherjee,80.1,56.36,9.06,7.16,4,0,Average
676,Nisha Tandon,52.04,78.76,2.71,6.79,0,0,Low
677,Swati Pandey,56.28,89.65,6.6,9.19,0,1,Low
678,Kunal Kapoor,53.87,56.65,9.77,4.6,5,1,Low
679,Ananya Srivastava,45.28,43.92,9.67,7.36,0,0,Low
680,Kavya Chopra,58.3,64.3,7.44,4.11,10,1,Low
681,Nisha Verma,58.14,99.72,9.79,5.66,0,1,Low
682,Reyansh Pandey,96.65,96.44,2.26,6.05,6,0,Average
683,Kiran Nair,71.24,77.46,8.73,8.12,6,0,Average
684,Swati Joshi,65.59,51.87,6.05,6.7,2,0,Average
685,Aisha Nair,74.86,77.88,2.02,4.83,8,0,Average
686,Atharv Bose,79.37,69.54,1.58,4.41,8,0,Average
687,Riya Chaudhary,90.37,40.19,0.29,5.91,6,1,Low
688,Sai Joshi,84.74,87.52,6.37,8.43,2,0,High
689,Kunal Menon,51.08,83.37,6.12,5.6,9,0,Low
690,Simran Sethi,53.85,31.83,0.79,8.68,2,1,Low
691,Aditya Tripathi,62.44,89.65,4.91,4.83,3,0,Average
692,Gaurav Pillai,85.87,31.05,2.7,6.48,10,0,Low
693,Zara Krishnan,43.97,94.9,9.86,9.2,7,1,Low
694,Harsh Khanna,65.65,84.34,6.08,8.95,5,1,Average
695,Rhea Yadav,75.63,66.77,8.76,8.72,8,0,Average
696,Dev Pandey,89.62,32.97,9.96,7.11,6,0,Low
697,Siddharth Mukherjee,70.97,74.15,0.49,5.75,6,1,Average
698,Zara Sethi,67.68,59.57,6.13,4.33,8,0,Average
699,Tanvi Tripathi,67.1,80.59,1.13,8.67,8,0,Average
700,Reyansh Chatterjee,59.41,31.74,4.54,9.38,3,1,Low
701,Ayaan Chaudhary,59.44,75.4,7.11,4.98,1,0,Low
702,Nisha Malhotra,78.04,35.97,7.07,8.36,8,0,Low
703,Shaurya Nair,62.84,83.78,9.12,7.39,10,0,Average
704,Sakshi Rao,50.73,79.84,4.2,5.86,7,1,Low
705,Zara Jain,47.05,39.21,2.03,7.74,4,0,Low
706,Nikhil Tandon,91.32,68.05,0.06,9.3,3,0,Average
707,Harsh Chopra,68.54,58.71,0.79,7.6,3,1,Average
708,Aditya Nair,73.45,87.77,0.49,4.89,10,1,Average
709,Sai Tripathi,91.23,76.69,8.38,5.79,1,0,High
710,Zara Bhatia,99.62,41.29,2.84,7.97,9,0,Low
711,Gaurav Shukla,61.61,32.51,7.69,5.94,6,0,Low
712,Amit Tripathi,90.6,34.54,4.71,4.73,4,1,Low
713,Isha Dhawan,71.48,78.71,6.12,4.66,10,0,Average
714,Amit Khanna,76.29,85.17,7.07,6.56,5,1,High
715,Rohan Rao,99.7,54.77,1.3,7.38,8,1,Average
716,Zara Chopra,93.02,46.29,2.9,5.16,1,0,Low
717,Aditya Roy,87.8,81.62,2.07,7.69,6,1,Average
718,Yash Kumar,60.98,86.42,2.12,7.84,4,1,Average
719,Pooja Tiwari,58.47,65.47,3.24,4.04,10,1,Low
720,Ankita Agarwal,83.46,73.12,0.29,5.05,5,1,Average
721,Raj Roy,94.97,85.81,6.46,6.89,10,1,High
722,Kiran Walia,67.75,86.99,9.28,4.34,8,1,Average
723,Ishaan Banerjee,58.93,67.51,2.08,8.11,5,0,Low
724,Atharv Arora,90.44,53.74,3.75,7.21,2,1,Average
725,Shreya Patel,47.01,84.76,3.08,9.15,0,1,Low
726,Atharv Mehta,69.82,46.63,4.52,9.7,3,1,Low
727,Varun Agarwal,62.45,32.62,2.02,4.56,8,0,Low
728,Siddharth Bose,94.3,40.79,3.4,6.9,8,1,Low
729,Pranav Gupta,48.6,91.03,8.22,9.63,10,0,Low
730,Pooja Yadav,67.56,79.96,5.22,4.02,0,0,Average
731,Sakshi Pillai,93.35,37.22,7.66,8.47,0,1,Low
732,Priya Nair,59.25,43.48,2.77,5.91,7,0,Low
733,Raj Ghosh,49.45,38.01,9.58,7.36,1,0,Low
734,Shaurya Kumar,72.96,48.97,9.43,8.82,9,0,Low
735,Ankita Singh,58.68,92.46,5.41,4.3,0,1,Low
736,Harsh Ghosh,46.36,33.77,4.26,5.07,9,1,Low
737,Gaurav Yadav,58.75,87.22,7.13,8.03,8,0,Low
738,Riya Walia,74.07,36.5,8.02,8.19,1,1,Low
739,Divya Tiwari,78.67,83.65,4.71,9.68,2,1,Average
740,Rohan Verma,51.0,94.21,3.3,9.16,5,1,Low
741,Kunal Khanna,43.92,37.9,4.79,9.07,4,1,Low
742,Yash Das,47.64,37.21,8.18,8.78,5,0,Low
743,Isha Pandey,71.96,58.06,4.13,7.73,8,0,Average
744,Raj Dhawan,43.96,44.58,6.94,6.59,6,1,Low
745,Ayaan Bhatia,54.17,76.38,0.78,9.59,9,1,Low
746,Arjun Arora,75.76,52.78,0.98,6.67,4,1,Average
747,Reyansh Pillai,46.52,86.98,7.71,6.27,7,0,Low
748,Neha Nair,89.02,92.11,9.03,7.82,0,0,High
749,Riya Khanna,67.18,50.41,6.16,6.68,3,1,Average
750,Nikhil Sharma,87.66,77.57,9.19,9.62,5,0,High
751,Dev Singh,76.69,65.73,8.48,9.12,0,1,Average
752,Ananya Shukla,40.05,69.2,9.79,4.66,4,0,Low
753,Raj Pillai,82.13,57.6,3.18,6.3,6,1,Average
754,Ishaan Mukherjee,79.75,63.24,1.88,6.31,5,1,Average
755,Payal Jain,99.85,76.9,1.34,4.43,0,0,Average
756,Yash Dhawan,79.48,98.25,1.36,4.82,6,1,Average
757,Nisha Ghosh,76.27,59.8,1.8,7.06,8,1,Average
758,Shreya Kapoor,53.54,59.73,0.07,6.99,3,1,Low
759,Nikhil Agarwal,74.58,32.34,0.38,6.9,5,0,Low
760,Amit Patel,97.7,35.6,7.3,7.16,4,1,Low
761,Ankita Chopra,71.4,72.7,2.45,7.78,10,0,Average
762,Isha Yadav,72.35,70.57,6.13,9.42,8,0,Average
763,Shaurya Gupta,70.76,62.85,7.34,6.53,4,1,Average
764,Sakshi Agarwal,81.7,71.83,3.04,8.71,4,0,Average
765,Meera Jain,74.69,70.1,6.56,5.75,9,0,Average
766,Priya Chatterjee,44.95,65.39,8.51,5.67,2,1,Low
767,Divya Rao,40.85,37.81,1.75,7.55,2,1,Low
768,Reyansh Nair,55.68,79.05,4.85,8.8,0,1,Low
769,Ananya Tandon,75.73,87.52,8.38,8.52,6,1,High
770,Swati Chatterjee,66.41,74.63,2.11,8.41,5,0,Average
771,Ritika Kapoor,85.33,38.12,1.68,6.39,4,1,Low
772,Aarav Mukherjee,54.02,77.85,3.9,5.58,8,1,Low
773,Sai Kapoor,95.63,61.42,6.78,9.77,10,0,Average
774,Priya Banerjee,78.25,96.93,4.32,9.51,4,1,Average
775,Payal Walia,88.14,47.87,5.84,6.77,10,0,Low
776,Dev Sharma,75.32,43.64,3.37,8.14,2,1,Low
777,Kavya Menon,80.37,88.22,0.12,4.59,1,1,Average
778,Kunal Chopra,83.52,47.63,0.34,7.72,0,0,Low
779,Ayaan Dhawan,47.31,97.05,0.86,7.63,6,0,Low
780,Siddharth Shukla,51.06,50.62,6.6,4.45,7,1,Low
781,Siddharth Singh,81.53,76.73,7.7,5.54,1,1,High
782,Rhea Kumar,62.97,53.29,0.6,9.73,4,0,Average
783,Ishaan Kapoor,69.5,95.0,6.1,5.07,7,0,Average
784,Aditya Kumar,86.12,45.29,6.43,9.48,4,0,Low
785,Swati Chopra,44.22,80.93,7.77,4.11,7,0,Low
786,Kiran Sharma,40.05,32.65,3.9,4.91,5,1,Low
787,Aarav Pandey,70.92,95.79,4.91,6.62,1,0,Average
788,Ankita Das,97.25,87.26,4.82,7.4,5,1,Average
789,Reyansh Yadav,64.04,74.26,9.59,4.54,8,1,Average
790,Riya Dhawan,85.63,50.3,2.03,7.33,6,0,Average
791,Ritika Iyer,63.41,37.47,6.89,6.92,10,1,Low
792,Arjun Kapoor,48.4,43.52,7.2,7.56,7,1,Low
793,Pooja Singh,78.6,64.98,9.65,8.87,0,0,Average
794,Ankita Kapoor,60.26,80.47,4.06,5.27,10,1,Average
795,Swati Verma,48.94,70.55,9.25,4.22,2,1,Low
796,Atharv Chopra,68.27,94.26,0.46,8.21,2,0,Average
797,Deepak Shah,43.0,51.51,7.94,6.74,2,0,Low
798,Pooja Walia,46.85,71.65,6.16,4.38,3,1,Low
799,Gaurav Gupta,64.12,38.46,6.84,7.28,5,0,Low
800,Komal Mishra,75.59,53.49,1.21,4.85,6,0,Average
801,Siddharth Reddy,73.2,60.71,9.26,4.24,1,1,Average
802,Shreya Dhawan,40.94,64.09,0.06,5.08,1,1,Low
803,Amit Chaudhary,88.44,84.08,6.92,5.24,10,1,High
804,Harsh Patel,64.72,95.67,6.11,4.23,2,1,Average
805,Ayaan Srivastava,77.63,84.78,3.48,4.03,3,0,Average
806,Zara Chopra,98.61,73.32,8.63,9.92,8,0,High
807,Rohan Rao,79.56,49.35,1.94,8.78,10,1,Low
808,Diya Roy,49.59,94.59,0.54,6.19,3,1,Low
809,Shaurya Verma,77.01,92.31,4.53,4.63,0,0,Average
810,Shreya Iyer,69.1,38.12,8.95,8.33,9,1,Low
811,Ananya Tripathi,84.83,92.89,2.3,4.66,3,0,Average
812,Aisha Nair,92.19,56.29,2.21,6.83,7,0,Average
813,Sakshi Ghosh,52.97,72.66,1.78,6.24,7,0,Low
814,Krishna Mehta,98.53,44.15,1.27,8.15,0,1,Low
815,Yash Chopra,91.1,62.1,1.71,6.06,4,0,Average
816,Shreya Srivastava,97.17,93.39,5.78,7.32,3,0,High
817,Payal Shukla,69.35,99.7,5.92,9.02,4,0,Average
818,Kiran Sharma,84.17,47.27,3.27,7.48,9,0,Low
819,Aisha Srivastava,65.07,33.1,9.91,8.4,8,0,Low
820,Reyansh Malhotra,63.66,86.68,6.97,4.59,7,0,Average
